Word,Definition
bataatti,sweet potato
brysselinkaali,brussels sprouts
endiivi,endive
fenkoli,fennel
herne,pea
jäävuorisalaatti,iceberg lettuce
kaali,cabbage
keräkaali,headed cabbage
kesäkurpitsa,zucchini
kiinankaali,Chinese cabbage
kikherne,chickpea
kirsikkatomaatti,cherry tomato
kukkakaali,cauliflower
kurkku,cucumber
kurpitsa,pumpkin
lanttu,rutabaga
lehtisalaatti,lettuce
maa-artisokka,Jerusalem artichoke
maissi,corn
munakoiso,eggplant
nauris,turnip
okra,ocher
palsternakka,parsnip
paprika,bell pepper
papu,bean
parsa,asparagus
parsakaali,broccoli
peruna,potato
pinaatti,spinach
porkkana,carrot
punajuuri,beetroot
punakaali,red cabbage
purjo,leek
raparperi,rhubarb
retiisi,radish
ruusukaali,brussels sprouts
selleri,celery
sikuri,chicory
tomaatti,tomato
valkosipuli,garlic
Syön paljon vihanneksia.,I eat a lot of vegetables.
On tärkeää syödä paljon kasviksia.,It’s important to eat a lot of vegetables.
Syön paljon kaalia.,I eat a lot of cabbage.
Syön usein salaattia.,I often eat lettuce/salad.
Tänään syön kukkakaalia.,Todat I eat cauliflower.
Suomalaiset syövät paljon perunoita.,Finns eat a lot of potatoes.
Tykkäänvalkosipulista.,I like garlic.
Enpidäkurkusta.,I don’t like cucumber.
akasia,acacia
apila,clover
asteri,aster
auringonkukka,sunflower
begonia,begonia
hyasintti,hyacinth
daalia,dahlia
jasmiini,jasmine
keltanarsissi,daffodil
kielo,lilly-of-the-valley
krysanteemi,chrysanthemum
kurjenmiekka,iris
laventeli,lavender
lemmikki,forget-me-not
lilja,lily
lumme,water lily
narsissi,narcissus
neilikka,carnation
orkidea,orchid
orvokki,violet
päivänkakkara,daisy
ruusu,rose
tulppaani,tulip
unikko,poppy
voikukka,dandelion
vuokko,anemone
maljakko,vase
kukkaruukku,flower pot
kukkapenkki,flower bed
kukkakimppu,bouquet
kukka-asetelma,flower arrangement
hautajaiskukat,funeral flowers
kukallinen,flowered
terälehti,petal
siemen,seed
korsi,stalk
siitepöly,pollen
varsi,stem
piikki,thorn
nippu,bud
puutarha,garden
kukkasidonta,flower binding
kukkakauppa,flower shop
makean veden kala,freshwater fish
suolaisen veden kala,salt water fish
ahven,perch
ankerias,eel
delfiini,dolphin
harjus,greyling
harmaanieriä,lake trout
hauki,pike
kampela,flounder
kapakala,dried cod
karppi,carp
kiiski,ruffe
kirjolohi,rainbow trout
kolja,haddock
kuha,pikeperch
kuore,smelt
lahna,bream
lohi,salmon
makrilli,mackerel
meriahven,sea bass
meriantura,sole
merilohi,Atlantic salmon
meritaimen,sea trout
miekkakala,swordfish
miekkavalas,killer whale
miljoonakala,guppy
muikku,vendace
mullo,mullet
nahkiainen,lamprey
nieriä,char
pallas,halibut
pallokala,pufferfish
piikkikampela,turbot
piraija,piranha
puna-ahven,red snapper
punakampela,plaice
puronieriä,brook trout
rausku,manta ray
ruutana,sturgeon
ryhävalas,humpback whale
sardelli,anchovy
seepia,cuttlefish
seiti,haddock
siika,lake whitefish
silakka,Baltic herring
silli,herring
sinivalas,blue whale
suutari,tench
särki,roach
säyne,"ide, chub"
taimen,trout
tiikerihai,tiger shark
tonnikala,tuna
turska,cod
simpukka,"clam, mussel"
rapu,(hard-shell) crab
äyriäinen,crayfish
hummeri,lobster
osteri,oyster
katkarapu,"prawn, shrimp"
langustirapu,spiny lobster
merihevonen,seahorse
meritähti,seastar
kalmari,squid
meduusa,jellyfish
mustekala,octopus
merimakkara,sea cucumber
meressä,in a/the sea
järvessä,in a/the lake
"aalto, aallot","wave, waves"
vedenpinta,surface of the water
meren pohja,seabed
evä,fin
suomu,scale
selkärangaton,invertebrate
lonkero,tentacle
merirokko,barnacle
pyrstö,fish tail
koralli,coral
plankton,plankton
häntä,tail
töpöhäntä,bob tail
kynsi,claw
kynnet,claws
pyrstö,bird’s/fish’s tail
siipi,wing
siivet,wings
höyhen,down feather
sulka,vanes feather
pyrstösulat,tail feathers
nokka,beak
kavio,hoof
sorkka,cloven hoof
harja,mane
karva,hair
turkki,fur
utareet,udders
kilpi,shell
räpylät,flippers
norsun kärsä,trunk
niskakarvat,hackles
syöksyhampaat,tusks
etukäpälä,front paw
takakäpälä,hind paw
kuono,snout
evä,fin
kidukset,gills
tuntosarvet,feelers
sarvi,horn
viikset,whiskers
kirsu,nose
välikämmen,pastern
polkuanturat,pads
heltat,gils
kinner,hock
säkä,withers
nisäkäs,mammal
ahma,wolverine
apina,monkey
delfiini,dolphin
dromedaari,dromedary
fretti,ferret
gepardi,cheetah
gorilla,gorilla
haisunäätä,skunk
hamsteri,hamster
hevonen,horse
hiiri,mouse
hirvi,moose
hylje,seal
härkä,ox
ihminen,human
ilves,lynx
jaguaari,jaguar
jänis,rabbit
karhu,bear
karitsa,lamb
karja,cattle
karju,boar
kettu,fox
kirahvi,giraffe
kissa,cat
koala,koala
kojootti,coyote
kuusipeura,fallow deer
lammas,sheep
lehmä,cow
leijona,lion
leopardi,leopard
lepakko,bat
liito-orava,flying squirrel
majava,beaver
marsu,guinea pig
metsäkauris,roe deer
mursu,walrus
myyrä,mole
mäyrä,badger
naali,arctic fox
norsu,elephant
näätä,marten
orava,squirrel
ori,stallion
panda,panda
peura,caribou
poro,reindeer
pukki,billy goat
saksanhirvi,red deer
sarvikuono,rhino
saukko,otter
siili,hedgehog
sika,pig
sonni,bull
supikoira,raccoon dog
susi,wolf
tamma,mare
tiikeri,tiger
valas,whale
varsa,foal
vasikka,calf
visentti,bison
vuohi,goat
hyönteinen,insect
ötökkä,bug
kärpänen,fly
hyttynen / sääski,mosquito
perhonen,butterfly
ampiainen,wasp
mehiläinen,bee
kimalainen,bumblebee
paarma,horsefly
kovakuoriainen,beetle
leppäkerttu,ladybug
sudenkorento,dragonfly
heinäsirkka,grasshopper
muurahainen,ant
hämähäkki,spider
mato,worm
punkki,tick
kirppu,flea
täi,louse
lude,bedbug
torakka,cockroach
satiainen,groin louse
loinen,parasite
syöpäläiset,vermin
toukka,larva
verkkosilmät,compound eyes
siipi,wing
pölyttäjä,pollinator
munia,to lay eggs
parvi,swarm
kuningatar,queen
kuhnuri,drone
siitepöly,pollen
tuntosarvet,antennae
mehiläisyhdyskunta,bee colony
mehiläispesä,beehive
hunajakenno,honeycomb
parveilu,swarming
muurahaiskeko,ant hill
boysenmarja,boysenberry
juolukka,bog whortleberry
karhunvatukka,blackberry
karpalo,cranberry
karviaismarja,gooseberry
kirsikka,cherry
lakka,cloudberry
lillukka,stone bramble
mansikka,strawberry
mesimarja,arctic bramble
metsämansikka,wild strawberry
mustikka,blueberry*
mustaherukka,blackcurrant
pensasmustikka,highbush blueberry
pihlajanmarja,rowanberry
punaherukka,red currant
puolukka,lingonberry
tyrni,buckthorn
vadelma,raspberry
variksenmarja,black crowberry
viinimarja,currant
hillomarja,berry for jam
luonnonmarja,berry in nature
metsämarja,berry in forest
puutarhamarja,berry in garden
talousmarja,cultivated berry
pakastemarja,frozen berry
marja,berry
pensas,"shrub, bush"
sato,harvest
hillo,jam
hyytelö,jelly
kiisseli,kissel
mehu,juice
tuoremehu,juice
marjakeitto,berry soup
mustikkapiirakka,blueberry pie
makea,sweet
hapan,sour
raaka,"green, raw"
kypsä,ripe
kypsyä,to ripen
kukkia,to blossom
marjastaa,to pick berries
poimia marjoja,to pick berries
kerätä,to collect
mennä marjaan,to go to pick berries
olla marjassa,to be picking berries
säilöä,to conserve
survoa,to crush
marjastaja,berry picker
mehumaija,steam juicer
mehustin,steam juicer
anis,aniseed
aromisuola,aroma of salt
basilika,basil
cayennepippuri,cayenne pepper
chili,chili
curry,curry
fenkoli,fennel
inkivääri,ginger
juustokumina,cumin
kaneli,cinnamon
kardemumma,cardamom
koiruoho,wordwood
korianteri,coriander
kumina,caraway
kurkuma,turmeric
laventeli,lavender
limetti,lime
maustepippuri,allspice
meirami,marjoram
minttu,mint
muskottipähkinä,nutmeg
mustapippuri,black pepper
oregano,oregano
paprika,paprika
persilja,parsley
piparjuuri,horseradish
piparminttu,peppermint
pippuri,pepper
punapippuri,red pepper
rakuuna,tarragon
rosmariini,rosmary
ruohosipuli,chives
sahrami,saffron
salvia,sage
seesami,sesame
sitruunamelissa,lemon balm
sokeri,sugar
suola,salt
tilli,dill
timjami,thyme
vanilja,vanilla
viherminttu,spearmint
viinimarja,currant
uuni,oven
"liesi, hella",stove
keittolevyt,cooking plates
mikroaaltouuni,microwave oven
mikro (spoken),microwave oven
astianpesukone,dishwasher
tiskikone (spoken),dishwasher
vohvelirauta,waffle iron
liesituuletin,cooker hood
jääkaappi,fridge
vatkain,"whisker, beater"
yleiskone,food processor
tehosekoitin,blender
sauvasekoitin,hand-held mixer
vedenkeitin,water heater
leivänpaahdin,toaster
pakastin,freezer
kahvinkeitin,coffee machine
haarukka,fork
lusikka,spoon
veitsi,knife
teelusikka,teaspoon
ruokalusikka,tablespoon
lautanen,plate
syvä lautanen,soup plate
lasi,glass
vesilasi,water glass
viinilasi,wine glass
kuppi,cup
muki,mug
teevati,saucer
suolakko,salt shaker
pippurisirotin,pepper shaker
pöytäliina,tablecloth
munakuppi,egg cup
kulho,bowl
sokerikko,sugar bowl
kahvipannu,coffee pot
teekannu,teapot
maitokannu,milk jug
kauha,scoop
kaulin,rolling pin
(uuni)vuoka,baking tray
tiskiaine (spoken),washing up liquid
astianpesuaine,washing up liquid
ajastin,timer
talouspaperi,kitchen roll
siivilä,strainer
kuivauskaappi,drying cupboard
keittiöpyyhe,kitchen towel
juustoraastin,cheese grater
juustohöylä,cheese slicer
säilytysrasia,storage box
leikkuulauta,cutting board
"esiliina, essu",apron
vesihana,water tap
paistinpannu,frying pan
kattila,sauce pan
hammastikku,toothpick
korkkiruuvi,corkscrew
pullonavaaja,bottle opener
lautasliina,napkin
tarjoiluvati,serving dish
tuhkakuppi,ashtray
moppi,mop
keittiövaaka,kitchen scale
pizzaleikkuri,pizza cutter
suppilo,funnel
pannunalunen,trivet
pannulappu,pot holder
sihti,strainer
"(pesu)rätti, siivousliina","cloth, rag"
kuorimaveitsi,peeling knife
valkosipulimurskain,garlic crusher
pakasterasia,freezer container
suodatinpussi,coffee filter
filee,fillet
fileeselkä,sirloin
gulassi,goulash
hampurilainen,hamburger
jänis,hare
jauheliha,minced meat
kani,rabbit
kääryle,collared beef
kinkku,ham
kyljykset,chops
lampaanliha,mutton
lihahöystö,ragout
lihakääryleet,beef rolls
lihapullat,meat balls
makkara,sausage
maksalaatikko,liver casserole
muhennos,stew
naudanliha,beef
pihvi,steak
piirakka,pie
sianliha,pork
sianlihamakkarat,pork sausages
vasikanliha,veal
vasikanpää,calf’s head
villisika,wild boar
viilokki,fricassee
ankka,duck
broilerinliha,chicken
fasaani,pheasant
hanhi,goose
kalkkuna,turkey
kana,chicken
kanalintu,fowl
kurppa,snipe
kyyhkynen,pigeon
peltopyy,patridge
viiriäinen,quail
aivot,brains
etuselkä,chuck
kieli,tongue
kylki,flank
lapa,shoulder
maksa,liver
munuaiset,kidneys
paisti,joint
potka,shank
reisi,leg
rinta,brisket
ulkofilee,sirloins
fileoitu,filleted
grillattu,grilled
haudutettu,stewed
höyrytetty,steamed
jauhettu,minced
keitetty,boiled
kypsennetty,cooked
leivitetty,breaded
marinoitu,marinated
muhennettu,"braised, stewed"
paistettu,fried
savustettu,smoked
suolattu,salted
tyhjiökypsennetty,sous-vide
Minä en syö lihaa.,I don’t eat meat.
Minä olen kasvissyöjä.,I’m a vegetarian.
Minä olen vegaani.,I’m a vegan.
En syö mitään eläinperäisiä tuotteita.,I don’t eat any animal products.
Millaisesta lihasta sinä tykkäät?,What kind of meat do you like?
Syötkö mieluummin kalaa vai lihaa?,Do you rather eat fish or meat?
Syötäisiinkö lihapullia tänään?,Could we eat meatballs today?
Syön joka päivä makkaroita.,I eat sausages every day.
Haluan vähentää lihansyöntiä.,I want to eat less meat.
En syö porsaanlihaa.,I don’t eat pork.
Uskontoni kieltää sianlihan syömisen.,My religion forbids me from eating pork.
Suuria määriä raakaa lihaa ei kannata syödä.,You shouldn’t eat large quantities of raw meat.
Kananliha on halvempaa kuin naudanliha.,Chicken is cheaper than beef.
aamutakki,dressing gown
alushame,petticoat
alushousut,underpants
aluspaita,undershirt
alusvaatteet,underwear
anorakki,anorak
bikinit,bikini
bleiseri,blazer
bokserit,boxershorts
esiliina / essu,apron
farkkupaita,jeans shirt
farkut,jeans
farmarit,blue jeans
frakki,tailcoat
hame,skirt
hiihtohousut,ski trousers
housupuku,trouser suit
housut,pants
huppari,hoodie
iltapuku,evening gown
jakku,jacket
jakkupuku,two piece dress and jacket
kauluspaita,button-up shirt
kesämekko,summer dress
korsetti,corset
kylpytakki,bathrobe
liivi,"waistcoat, vest"
lyhyet housut,short pants
mekko,dress
minihame,mini skirt
mokkajakku,suede jacket
mokkatakki,suede coat
nahkatakki,leather jacket
neulepusero,pullover
neuletakki,cardigan
paita,shirt
pikkuhousut,panties
polvisukat,knee socks
poolopaita,turtle neck
puku,suit
pusero,blouse
pyjama,pajamas
päällystakki,overcoat
rintaliivit,bra
sadetakki,raincoat
solmio,tie
shortsit,shorts
stoola,stole
sukat,socks
sukkahousut,tights
suojahaalari,coverall
takki,coat
toppatakki,quilted jacket
toppi,top
tuulipuku,windbreaker
T-paita,T-shirt
tunika,tunic
turkistakki,fur jacket
turkki,fur coat
tuulipusero,windcheater
työvaatteet,work clothes
uimamyssy,bathing cap
uimahousut,bathing trunks
uimapuku,swimsuit
verryttelypuku,sweatsuit
villapaita,sweater
villapusero,sweater
villatakki,cardigan
virkapuku,uniform
yöpaita,nightgown
yöpuku,night clothes
äitiyshousut,maternity pants
hartiahuivi,shawl
hattu,hat
hiussolki,hair clip
huivi,scarf
kaulakoru,necklace
kaulaliina,scarf
kihlasormus,engagement ring
korvakorut,earrings
käsineet,gloves
käsilaukku,hand bag
lippalakki,cap
lippis,cap (spoken)
myssy,cap
nenäliina,handkerchief
pipo,"woolly hat, beanie"
rannekello,watch
rannerengas,bracelet
sormus,ring
olkihattu,straw hat
päähuivi,head scarf
vihkisormus,wedding ring
vyö,belt
hakaneula,safety pin
hiha,sleeve
hihaton,sleeveless
huppu,hood
kalvosin,cuff
kaula-aukko,neckline
kaulus,collar
kengännauhat,shoelaces
lahje,pants’ leg
nappi,button
sauma,seam
tarranauha,velcro
tasku,pocket
vetoketju,zipper
vuori,inside lining
kashmir,cashmere
keinokuitu,synthetic fibre
mohair,mohair
nahka,leather
pellava,linen
pitsi,lace
puuvilla,cotton
sametti,velvet
silkki,silk
turkis,fur
villa,wool
yksivärinen,one color
raidallinen,striped
ruudullinen,checkered
kuviollinen,patterned
pilkullinen,dotted
kauppa,"shop, store"
kioski,kiosk
kirpputori,flea market
liike / yritys / firma,business
lähimyymälä,neighborhood shop
myymälä,store
ostoskeskus,shopping center
osuuskauppa,cooperative shop
pienyritys,small business
ruokakauppa,grocery store
suuryritys,big corporation
tavaratalo,department store
valintamyymälä,supermarket
asiakaspalvelu,customer service
elintarvikeosasto,food department
hevi-osasto,fruit and vegetable department
itsepalvelu,self-service
kassat,cashiers (pic)
kassajono,cashier queue
kauppatavara,merchandise
kylmäkaappi,refrigerator
käytävä,aisle
leipäosasto,bread department
lihatiski,meat counter
loppuunmyynti,final sales
loppuunmyyty,sold out
osamaksu,payment installment
ostoskori,shopping basket
ostoskärry,shopping cart
ostoslista,shopping list
pakasteallas,freezer
päivittäistavarat,groceries
sisäänkäynti,entrance
uloskäynti,exit
vaateosasto,clothing department
viivakoodi,bar code
ALV,VAT
bonuskortti,bonus card
hinta,price
kassakone,cash register
kolikko,coin
kuitti,receipt
käteinen,cash
luottokortti,credit card
pankkikortti,bank card
sentti,cent
seteli,bill
hinnoitella,to price
hinnoittaa,to fix the prices
hyllyttää,to shelve
kustantaa,to finance
käydä ostoksilla,to go shopping
käydä ruokakaupassa,to go to the grocery store
laskea,to count
maksaa käteisellä,to pay with cash
maksaa luotolla,to pay on credit
maksaa pankkikortilla,to pay with bank card
myydä,to sell
ostaa,to buy
ostaa osamaksulla,to buy with installments
rikastua,to make money
tinkiä,to haggle
valita,to choose
asiakas,customer
kassa,cashier
kauppias,shopkeeper
kuluttaja-asiamies,consumer ombudsman
myyjä,salesperson
myyntipäällikkö,sales manager
pankki,bank
konttori,office
asuntolaina,mortgage
henkivakuutus,life insurance
kassakaappi,safe
korko,interest
käyttötili,"current account, checking account"
lainanlyhennys,repayment on a loan
lasku,bill
liikepankki,commercial bank
luotto,credit
luottotiedot,credit information
luottokortti,credit card
luottokorttimaksu,credit card payment
luottoraja,credit limit
lähimaksu,contactless payment
mobiilimaksu,mobile payment
nostoraja,withdrawal limit
osuuspankki,cooperative bank
pankinjohtaja,bank manager
pankkiautomaatti,cash dispenser
pankkiholvi,bank vault
pankkiiri,banker
pankkipalvelut,banking services
pankkisiirto,bank transfer
pankkikortti,bank card
pankkilaina,bank loan
pankkitalletus,bank deposit
pankkitili,bank account
pankkivirkailija,bank clerk
perintä,debt collection
saldo,balance on an account
shekki,cheque
säästöpankki,savings bank
säästötili,savings account
talletuskorko,deposit rate
talletustili,deposit account
tilinumero,bank account number
tiliote,bank statement
"tunnusluku, PIN-koodi",pin number
vakuutus,insurance
vakuutusyhtiö,insurance company
valuutta,currency
"valuuttakurssi, vaihtokurssi",exchange rate
velan lyhennys,debt repayment
velka,debt
asioida pankissa,to do business at the bank
avata tili,to open an account
erääntyä,to become due
kasvaa korkoa,to grow interest
kirjautua verkkopankkiin,to log in to online banking
käyttää luottokorttia,to use a credit card
käyttää pankkikorttia,to use a bank card
käyttää verkkopankkia,to use online banking
lainata pankista,to borrow from the bank
lähettää rahaa ulkomaille,to send money abroad
maksaa lasku,to pay a bill
nostaa käteistä,to withdraw cash
näppäillä tunnusluku,to enter the pin code
saada laina,to get a loan
siirtää rahaa,to transfer money
"sulkea, kuolettaa pankkikortti",to freeze a bankcard
säästää rahaa,to save money
tallettaa rahaa,to deposit money
tilata uusi kortti,to order a new card
täyttää lainahakemus,to fill out a loan application
vaihtaa valuuttaa,to exchange currency
Minun pitää käydä pankissa.,I have to go to the bank.
Minun on pakko käydä konttorissa.,I must go to the bank office.
Haluaisin avata tilin.,I would like to open an account.
Haluaisin avata säästötilin.,I would like to open a savings account.
Tarvitsen pankkitilin.,I need a bank account.
Tarvitsen käyttötilin.,I need a checking account.
Vaimoni ja minä tarvitsemme yhteisen tilin.,My wife and I need a joint account.
Mikä on säästötilin korko?,What’s the interest rate of the savings account?
"Säästötili tarjoaa 0,75 % korkoa.",The savings account offers an interest rate of 0.75%.
Asun pysyvästi Suomessa.,I permanently live in Finland.
Miten voin käyttää verkkopankkia?,How can I use online banking?
Verkkopankki ei toimi.,Online banking doesn’t work
Haluan tallettaa nämä rahat säästötililleni.,I want to deposit this money in my savings account.
Haluaisin tallettaa nämä rahat tililleni.,I would like to deposit this money into my account.
Haluaisin lähettää rahaa ulkomaille.,I would like to send money abroad.
Miten maksan ulkomaanmaksun?,How do I pay a cross-border payment?
Haluan siirtää rahaa ystävän tilille.,I want to transfer money to a friend’s account.
Haluaisin nostaa 1000 euroa.,I would like to withdraw 1000 euros.
Haluaisin vaihtaa valuuttaa.,I would like to exchange currency.
Mikä on Yhdysvaltain dollarin vaihtokurssi?,What’s the exchange rate for USD?
Tarvitsen laajan kotivakuutuksen.,I need extensive home insurance.
Tarvitsen lainaa autoon.,I need a loan for a car.
Tarvitsen apua asuntolainan hakemisessa.,I need help applying for a mortgage.
Haluaisin puhua jonkun kanssa asuntolainoista.,I would like to talk to someone about mortgages.
Miksi lainahakemukseni hylättiin?,Why was my loan application rejected?
Tarvitsen tiliotteen.,I need a bank statement.
Unohdin pankkikorttini PIN-koodin.,I forgot my bank card’s pin code.
Haluaisin tilata uuden tunnusluvun.,I’d like to order a new pin code.
Kadotin pankkikorttini.,I lost my bank card.
Haluan sulkea korttini välittömästi.,I want to freeze my card immediately.
Pankkikorttini pitää kuolettaa heti.,My debit card must be frozen right away.
"Sain maksukehotuksen, vaikka maksoin jo.","I received a payment request, though I already paid."
Sain aiheettoman maksumuistutuksen.,I received an undue payment reminder.
Olen jo maksanut tämän laskun.,I have already paid this bill.
Tililtäni veloitettiin sama maksu kaksi kertaa.,My account was charged twice for the same fee.
Tarvitsen lisää maksuaikaa.,I need more payment time.
Tilinne on ylitetty.,Your account has been overdrawn.
Nostovara ei riitä.,Insufficient funds.
Olen unohtanut verkkopankin tunnuslukuni.,I’ve forgotten my pin for online banking.
Olen unohtanut pankkikortin tunnuslukuni.,I’ve forgotten my bank card’s pin code.
e-lasku,"e-bill, e-invoice"
e-laskusopimus,e-invoicing agreement
eräpäivä,due date
erääntyvät maksut,payments due
hyväksyä maksu,to approve a payment
hyväksyä tunnistuspyyntö,to accept an authentication request
katevaraus,"covering funds, cushion"
kirjautua verkkopankkiin,to log in to online banking
kirjautua sisään,to sign in
kirjautua ulos,to sign out
käyttäjätunnus,username
käyttövara,money available
maksu,payment
maksupäivä,day of payment
maksun saaja,"payment receiver, beneficiary"
menot,expenses
mobiilivarmenne,mobile certificate
määrä,amount
pankkisovellus,banking application
saajan tilinumero,beneficiary’s account number
salasana,password
suoraveloitus,direct debit
"tehdä maksu, maksaa","to make a payment, to pay"
tilisiirto,bank transfer
tilitapahtuma,account transaction
toistuva maksu,recurring payment
tulot,income
tunnistuspyyntö,identification request
tunnistussovellus,authentification application
turvakortti,security card
veloitustili,debit account
verkkopankki,online bank
viitenumero,reference number
Käytän yleensä verkkopankkia.,I usually use online banking.
Hoidan pankkiasiani verkossa.,I handle my banking online.
Hoidan pankkiasiat tietokoneella.,I handle my banking on the computer
Hoidan pankkiasiat älypuhelimellani.,I handle my banking on my smartphone.
Suoritan maksun verkkopankissa.,I make the payment in online banking.
Kirjaudun verkkopankkiin.,I log in to online banking.
Siirsin rahat sinun tilillesi.,I transferred the money to your account.
Siirrän rahaa säästötililleni.,I transfer money to my savings account.
Käyn pankkiautomaatilla.,I go to the ATM.
Nostan rahaa pankkitililtä.,I withdraw money from my bank account.
Sinulle on tullut e-lasku.,You have received an e-invoice.
Sinulle on tullut uusi viesti verkkopankkiin.,You have received a new message in online banking.
Maksu ei ole veloitettu tililtä.,The payment hasn’t been debited from your account.
Ilma on kaunis.,The weather is beautiful.
On kaunis ilma.,The weather is beautiful.
On kaunis päivä.,It’s a beautiful day.
On pilvinen päivä.,It’s a cloudy day.
On kylmä ulkona.,It’s cold outside.
On melko kylmä päivä.,It’s a fairly cold day.
Aurinko paistaa.,The sun is shining.
On oikein kuuma.,It’s really hot.
On pilvistä.,It’s cloudy.
On liukasta.,It’s slippery.
Sataa.,It rains.
Sataa vettä.,It rains. (“It rains water”)
Sataa lunta.,It snows. (“It rains snow”)
Sataa räntää.,It rains wet snow.
Sataa rakeita.,It hails.
Ei sada,It doesn’t rain.
Eilen satoi.,It rained yesterday.
Tuulee.,It’s windy.
Tuulee oikein kovasti.,It’s very windy.
On myrsky.,There’s a (wind)storm.
On ukonilma.,There’s a thunderstorm.
Salamoi.,There’s lightning. (“It lightens”)
On kaksi astetta pakkasta.,It’s minus two degrees.
On miinus kaksi astetta.,It’s minus two degrees.
aste,degree
aurinko,sun
halla,frost
helle,heat wave
hurrikaani,hurricane
kostea,humid
lumi,snow
pilvi,cloud
pouta,dry weather
räntä,wet snow
sade,rain
sadekausi,rain season
sadekuuro,rain shower
tihkusade,drizzle
salama,lightning
sateenkaari,rainbow
selkeä,clear
sumu,mist
"sää, ilma, keli",weather
taivas,sky
tulva,flood
tuuli,wind
ukkonen,thunder
viileä,chilly
Millainen ilma tänään on?,What kind of weather is it today?
Onko kaunis ilma tänään?,Is the weather beautiful today?
Paistaako aurinko?,Does the sun shine?
Sataako?,Is it raining?
Sataako lunta?,Is it snowing?
Luvattiinko sadetta?,Did they predict rain?
Tuuleeko?,Is there wind?
Kuinka monta astetta on?,How many degrees is it?
Kuinka kylmä on?,How cold is it?
Onko pakkasta?,Is it freezing?
On pilvinen päivä.,It’s a cloudy day.
On sateinen päivä.,It’s a rainy day.
On tuulinen päivä.,It’s a windy day.
On aurinkoinen päivä.,It’s a sunny day.
On sumuinen päivä.,It’s a misty/foggy day.
talvi,winter
vuodenaika,season
kylmä,cold
pakkanen,frost
lumi,snow
jää,ice
pipo,winter hat
kaulaliina,scarf
lapaset,mittens
käsineet,gloves
huopatossut,felt boots
villasukat,wool socks
talvikengät,winter boots
pulkka,sled (kids)
kelkka,"sled, sledge"
sukset,skis
luistimet,iceskates
latu,ski trail
moottorikelkka,snowmobile
lumiukko,snowman
lumipallo,snowball
lumisota,snowball fight
talvirenkaat,winter tires
nastarenkaat,studded tires
jääraappa,ice scraper
avanto,hole in the ice
ensilumi,first snow
hanki,blanket of snow
hankikanto,see below (read more here)
huurre,rime
ikirouta,permafrost
jää,ice
jäähelmi,ice pearl
jääkide,ice crystal
jääkukka,"flower-like pattern of frost on glass, arctic mesh"
jääpuikko,icicle
kelirikko,frost heave (read more here)
kelkkakeli,great weather for sledding
kuura,frost in the early morning
loska,"slush, half-melted snow/ice"
loskakeli,slushy road conditions
lumi,snow
lumihiutale,snowflake
lumikide,snow crystal
lumikinos,"piled up snow, snowdrift"
lumivaippa,thick layer of snow
lumivyöry,snow avalanche
lumimyrsky,snow storm
musta jää,black ice
nietos,"piled up snow, snowdrift"
nuoska,"wet, sticky snow, good for snowmen"
pakkanen,"below zero, freezing"
pakkassää,frosty weather
pyry,heavy snowfall
pälvi,snow-free ground area in spring
pääkallokeli,dangerously slippery weather
raekuuro,short but heavy hail storm
railo,a long crack in the ice
revontulet,northern lights
routa,frozen ground surface
räntä,"sleet, wet snowfall"
sohjo,"slush, wet snow"
sohjokeli,slushy road conditions
suojasää,deep winter weather above freezing
